job_id,company,source,title,location,url,date_found,match_score,title_score,description_score,match_reasons
/job/US-TX-RICHARDSON-461--3200-E-Renner-Rd--RENNER-BLDG-461/Electrical-Engineering-Intern--Summer-2027-_01874221,RTX,workday,Electrical Engineering Intern (Summer 2027),US-TX-RICHARDSON-461 ~ 3200 E Renner Rd ~ RENNER BLDG 461,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-TX-RICHARDSON-461--3200-E-Renner-Rd--RENNER-BLDG-461/Electrical-Engineering-Intern--Summer-2027-_01874221,2026-09-10,46,30,16,title: intern (+10); title: electrical (+20); description: electrical (+8); description: defense (+8)
/job/US-TX-RICHARDSON-462--3200-E-Renner-Rd--RENNER-BLDG-462/Mechanical-Engineering-Intern--Summer-2027-_01873704,RTX,workday,Mechanical Engineering Intern (Summer 2027),US-TX-RICHARDSON-462 ~ 3200 E Renner Rd ~ RENNER BLDG 462,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-TX-RICHARDSON-462--3200-E-Renner-Rd--RENNER-BLDG-462/Mechanical-Engineering-Intern--Summer-2027-_01873704,2026-09-10,26,10,16,title: intern (+10); description: electrical (+8); description: defense (+8)
/job/US-MN-BURNSVILLE-WEST--14300-Judicial-Rd--WEST-BLDG/Software-Engineering-Intern--Summer-2027-_01872977,RTX,workday,Software Engineering Intern (Summer 2027),US-MN-BURNSVILLE-WEST ~ 14300 Judicial Rd ~ WEST BLDG,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-MN-BURNSVILLE-WEST--14300-Judicial-Rd--WEST-BLDG/Software-Engineering-Intern--Summer-2027-_01872977,2026-09-10,34,10,24,title: intern (+10); description: hardware (+8); description: embedded (+8); description: defense (+8)
R2025314,NVIDIA,workday,System Application Engineer (RDSS Intern),"Taiwan, Taipei",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Taipei/System-Application-Engineer--RDSS-Intern-_JR2025314,2026-09-11,34,10,24,title: intern (+10); description: electrical (+8); description: hardware (+8); description: pcb (+8)
8193295,Waymo,greenhouse,"2027 Summer Intern, PhD, Machine Learning, Computer Vision","Mountain View, California",https://careers.withwaymo.com/jobs?gh_jid=8193295,2026-09-11,26,10,16,title: intern (+10); description: electrical (+8); description: hardware (+8)
R2129761-1,KBR,workday,Junior Software Developer,"Beavercreek Township, Ohio",https://kbr.wd5.myworkdayjobs.com/en-US/KBR_Careers/job/Beavercreek-Township-Ohio/Junior-Software-Developer_R2129761-1,2026-09-11,29,5,24,title: junior (+5); description: hardware (+8); description: embedded (+8); description: defense (+8)
R5039820-1,GE Aerospace,workday,Junior Engineer -Testing,Pune,https://geaerospace.wd5.myworkdayjobs.com/en-US/GE_ExternalSite/job/Pune/Junior-Engineer--Testing_R5039820-1,2026-09-11,29,5,24,title: junior (+5); description: electrical (+8); description: hardware (+8); description: pcb (+8)
R5039588-1,GE Aerospace,workday,"Structures Intern/Co-op – ACSC – Cincinnati, OH – Spring 2027",Springdale,https://geaerospace.wd5.myworkdayjobs.com/en-US/GE_ExternalSite/job/Springdale/Structures-Intern-Co-op---ACSC---Cincinnati--OH---Spring-2027_R5039588-1,2026-09-11,26,10,16,title: intern (+10); description: hardware (+8); description: embedded (+8)
R14510,National Renewable Energy Laboratory,workday,Graduate (Year-Round) Intern: Geospatial Data Science Modeling and Analysis,2 Locations,https://nrel.wd5.myworkdayjobs.com/en-US/NLR/job/Golden-CO/Graduate--Year-Round--Intern--Geospatial-Data-Science-Modeling-and-Analysis_R14510,2026-09-11,32,10,22,title: intern (+10); description: power systems (+12); description: transmission (+10)
R2025245,NVIDIA,workday,Solutions Architecture Intern - Summer 2027,"US, CA, Santa Clara",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Solutions-Architecture-Intern---Summer-2027_JR2025245,2026-09-11,26,10,16,title: intern (+10); description: electrical (+8); description: hardware (+8)
